KEY,SKEY,AAF1,CBAA_1
100000329,197100000668,1,4
100000330,197100000796,1,2
100000331,197100000903,1,3
100000332,197100000754,1,4
100000333,197100000671,2,3
100000334,197100000917,1,4
100000335,197100000649,2,3
100000336,197100001032,1,3
100000337,197100000674,1,3
100000338,197100000897,2,4
100000339,197100001009,2,4
100000340,197100000467,1,4
100000341,197100000778,2,3
100000342,197100001004,1,4
100000343,197100000342,1,3
100000344,197100000470,1,4
100000345,197100000584,1,4
100000346,197100000237,1,4
100000348,197100000030,2,3
100000349,197100000845,2,4
100000350,197100000627,1,4
100000351,197100000111,1,2
100000352,197100000973,2,3
100000353,197100000283,2,4
100000354,197100000125,1,4
100000355,197100000350,2,2
100000356,197100000636,1,4
100000357,197100000104,2,2
100000358,197100000891,2,2
100000359,197100000713,2,3
100000360,197100000946,2,2
100000361,197100001053,1,3
100000362,197100000704,2,4
100000363,197100000971,2,4
100000364,197100000485,2,1
100000365,197100000492,1,3
100000366,197100001020,1,3
100000367,197100000781,1,4
100000368,197100000573,1,2
100000369,197100001105,1,3
100000370,197100000582,1,4
100000371,197100000119,1,4
100000372,197100000454,1,3
100000373,197100000626,2,3
100000374,197100000616,1,4
100000375,197100000501,1,4
100000376,197100000938,2,4
100000377,197100000965,1,4
100000378,197100001028,2,3
100000379,197100000625,2,2
100000380,197100000130,2,4
100000381,197100000868,2,3
100000382,197100000743,2,3
100000383,197100000816,2,3
100000384,197100000368,1,3
100000385,197100001122,1,3
100000386,197100000949,2,2
100000387,197100000948,1,3
100000388,197100000967,2,3
100000389,197100000874,1,3
100000390,197100001058,1,4
100000391,197100000437,2,4
100000392,197100000529,1,3
100000393,197100000860,1,4
100000394,197100001076,2,2
100000395,197100001055,2,1
100000396,197100000298,2,4
100000397,197100000910,1,4
100000398,197100000363,2,2
100000399,197100000168,2,4
100000400,197100000684,1,4
100000401,197100000535,2,3
100000402,197100000997,2,4
100000403,197100000606,2,4
100000404,197100000916,1,2
100000405,197100000815,2,3
100000406,197100000242,2,3
100000407,197100000861,2,3
100000408,197100000517,1,2
100000409,197100001070,2,4
100000410,197100001090,1,2
100000411,197100000327,1,1
100000412,197100001112,2,3
100000413,197100000854,2,3
100000414,197100000873,1,2
100000415,197100000638,2,2
100000416,197100001025,1,4
100000417,197100001150,1,3
100000418,197100000676,1,2
100000419,197100001064,1,4
100000420,197100000833,1,2
100000421,197100000471,1,4
100000422,197100001084,1,4
100000423,197100000497,1,4
100000424,197100001120,1,3
100000425,197100000959,2,3
100000426,197100000597,1,4
100000427,197100001054,2,3
100000428,197100001137,2,4
100000429,197100000760,2,4
100000430,197100001039,2,2
100000431,197100001134,2,2
100000432,197100000974,1,4
100000433,197100001178,2,2
100000434,197100000982,1,3
100000435,197100000222,2,3
100000436,197100000970,1,4
100000437,197100000987,1,2
100000438,197100000160,1,3
100000439,197100000864,2,4
100000440,197100001036,1,3
100000441,197100000988,2,2
100000442,197100001107,2,1
100000443,197100000772,1,4
100000444,197100001136,2,4
100000445,197100001145,2,3
100000446,197100001010,1,3
100000447,197100000383,2,4
100000448,197100000531,1,3
100000449,197100000244,1,3
100000450,197100001162,2,4
100000451,197100001276,1,3
100000452,197100000163,2,4
100000453,197100000733,2,2
100000454,197100000880,1,4
100000455,197100000259,1,3
100000456,197100001160,1,1
100000457,197100001086,2,2
100000458,197100000251,1,3
100000459,197100001152,1,3
100000460,197100000635,2,3
100000461,197100000801,2,4
100000462,197100000909,1,2
100000463,197100001082,2,3
100000464,197100001093,1,2
100000465,197100000734,1,3
100000466,197100000449,2,3
100000467,197100000963,1,3
100000468,197100001101,2,4
100000469,197100001289,1,1
100000470,197100001252,1,3
100000471,197100000722,1,2
100000472,197100000995,2,4
100000474,197100001203,1,4
100000475,197100001026,1,2
100000476,197100001164,2,2
100000477,197100001085,1,3
100000478,197100001118,2,4
100000479,197100001106,1,4
100000480,197100001091,2,4
100000481,197100000077,1,3
100000482,197100000011,2,3
100000483,197100001230,1,3
